Recommended taxon name,Recommended taxon version,Reporting category,Designation,Designation abbreviation
Trichomanes speciosum,NBNSYS0000002028,The Conservation of Habitats and Species Regulations 2010,Schedule 5,HabReg-Sch5
Woodsia alpina,NBNSYS0000002062,Wildlife and Countryside Act 1981,Schedule 8,WACA-Sch8
Woodsia alpina,NBNSYS0000002062,Rare and scarce species (not based on IUCN criteria),Nationally Rare. Excludes Red Listed taxa,NR-excludes
Woodsia alpina,NBNSYS0000002062,Red listing based on 2001 IUCN guidelines,Vulnerable,RedList_GB_post2001-VU
Woodsia alpina,NBNSYS0000002062,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Woodsia ilvensis,NHMSYS0000465076,Wildlife and Countryside Act 1981,Schedule 8,WACA-Sch8
Woodsia ilvensis,NHMSYS0000465076,Rare and scarce species (not based on IUCN criteria),Nationally Rare. Excludes Red Listed taxa,NR-excludes
Woodsia ilvensis,NHMSYS0000465076,Red listing based on 2001 IUCN guidelines,Endangered,RedList_GB_post2001-EN
Woodsia ilvensis,NHMSYS0000465076,Biodiversity Lists - England,England NERC S.41,England_NERC_S.41
Woodsia ilvensis,NHMSYS0000465076,Red listing based on 2001 IUCN guidelines,Critically Endangered,RedList_ENG_post2001-CR
Woodsia ilvensis,NHMSYS0000465076,Biodiversity Lists - Wales,Env (Wales) Act S7,Env (Wales) Act S7
Woodsia ilvensis,NHMSYS0000465076,Biodiversity Action Plan UK list of priority species,Priority Species,BAP-2007
Woodsia ilvensis,NHMSYS0000465076,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Acer campestre,NBNSYS0000003193,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Acer campestre,NBNSYS0000003193,Red listing based on 2001 IUCN guidelines,Least concern,RedList_ENG_post2001-LC
Achillea maritima,NHMSYS0021240634,Red listing based on 2001 IUCN guidelines,Regionally Extinct,RedList_GB_post2001-RE
Achillea millefolium,NBNSYS0000004451,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Achillea millefolium,NBNSYS0000004451,Red listing based on 2001 IUCN guidelines,Least concern,RedList_ENG_post2001-LC
Achillea ptarmica,NBNSYS0000004453,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Achillea ptarmica,NBNSYS0000004453,Red listing based on 2001 IUCN guidelines,Least concern,RedList_ENG_post2001-LC
Aconitum napellus,NHMSYS0000455574,Red listing based on 2001 IUCN guidelines,Waiting List,WL
Aconitum napellus subsp. napellus,NHMSYS0000455578,Rare and scarce species (not based on IUCN criteria),Nationally Scarce. Excludes Red Listed taxa,NS-excludes
Actaea spicata,NBNSYS0000002699,Rare and scarce species (not based on IUCN criteria),Nationally Scarce. Excludes Red Listed taxa,NS-excludes
