Recommended taxon name,Recommended taxon version,Reporting category,Designation,Designation abbreviation
Glossobalanus sarniensis,NHMSYS0021054473,Biodiversity Lists - Northern Ireland,Priority Species (Northern Ireland),NI_Priority
Actinotaenium adelochondrum,NHMSYS0000599827,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Actinotaenium clevei,NHMSYS0000599829,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Actinotaenium colpopelta,NHMSYS0000599831,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Actinotaenium cucurbitinum,NHMSYS0000599835,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Actinotaenium curtum,NHMSYS0000599836,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Actinotaenium gelidum,NHMSYS0000599838,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Actinotaenium perminutum,NHMSYS0000599847,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Actinotaenium rufescens,NHMSYS0000599849,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Actinotaenium silvae-nigrae,NHMSYS0000599850,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Actinotaenium turgidum,NHMSYS0000599856,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Aglaothamnion diaphanum,NHMSYS0021059745,Rare and scarce species (not based on IUCN criteria),Nationally rare marine species,Marine-NR
Aglaothamnion priceanum,NHMSYS0021059750,Rare and scarce species (not based on IUCN criteria),Nationally rare marine species,Marine-NR
Ahnfeltiopsis devoniensis,NHMSYS0021060181,Biodiversity Lists - Northern Ireland,Priority Species (Northern Ireland),NI_Priority
Anotrichium barbatum,NHMSYS0021060021,Rare and scarce species (not based on IUCN criteria),Nationally rare marine species,Marine-NR
Anotrichium barbatum,NHMSYS0021060021,Biodiversity Lists - England,England NERC S.41,England_NERC_S.41
Anotrichium barbatum,NHMSYS0021060021,Biodiversity Lists - Wales,Env (Wales) Act S7,Env (Wales) Act S7
Anotrichium barbatum,NHMSYS0021060021,Biodiversity Action Plan UK list of priority species,Priority Species,BAP-2007
Batrachospermum gelatinosum forma spermatoinvolucrum,NHMSYS0000600173,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Bornetia secundiflora,NHMSYS0021059779,Rare and scarce species (not based on IUCN criteria),Nationally rare marine species,Marine-NR
Cladophora battersii,NHMSYS0021059212,Rare and scarce species (not based on IUCN criteria),Nationally rare marine species,Marine-NR
Closterium anguineum,NHMSYS0000600885,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Closterium archerianum,NHMSYS0000600890,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Closterium calosporum,NHMSYS0000600898,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Closterium didymotocum,NHMSYS0000600921,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Closterium limneticum,NHMSYS0000600963,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Closterium lineatum,NHMSYS0000600966,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Closterium navicula,NHMSYS0000600979,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Closterium nematodes,NHMSYS0020703521,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Closterium pritchardianum,NHMSYS0000600999,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Closterium pygmaeum,NHMSYS0000524443,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Closterium subscoticum,NHMSYS0000601028,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Closterium toxon,NHMSYS0000601031,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Codium adhaerens,NHMSYS0021059174,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Codium bursa,NHMSYS0021059175,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Coelastropsis costata,NHMSYS0000601081,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium alpestre,NHMSYS0000601200,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium binum,NHMSYS0000601224,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium bioculatum,NHMSYS0000601225,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium carinthiacum,NHMSYS0000601260,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium conspersum,NHMSYS0000601271,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium crenulatum,NHMSYS0000601290,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium cucumis,NHMSYS0000601292,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium cyclicum,NHMSYS0000601298,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium dentiferum,NHMSYS0000601308,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium dybowskii,NHMSYS0000601322,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium eductum,NHMSYS0000601323,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium eichlerianum,NHMSYS0000601324,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium elegantissimum,NHMSYS0000601325,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium excavatum,NHMSYS0000601349,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium fictopraemorsum,NHMSYS0000601356,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium fontigenum,NHMSYS0000601358,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium furcatospermum,NHMSYS0000601361,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium isthmium,NHMSYS0000601401,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium isthmochondrum,NHMSYS0000601404,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium luxuriosum,NHMSYS0000601427,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium novae-semliae,NHMSYS0000601342,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium nymannianum,NHMSYS0000601345,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium obliquum,NHMSYS0000601346,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium ochthodes,NHMSYS0000601510,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium ordinatum,NHMSYS0000601516,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium orthostichum,NHMSYS0000601521,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium pachydermum,NHMSYS0000601526,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium paragranatoides,NHMSYS0000601528,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium phaseolus,NHMSYS0000601535,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium plicatum,NHMSYS0000601540,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium pokornyanum,NHMSYS0000601543,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium praegrande,NHMSYS0000601549,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium pseudamoenum,NHMSYS0000601557,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium pseudobroomei,NHMSYS0000601561,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium pseudocommissurale,NHMSYS0000601563,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium pseudoexiguum,NHMSYS0000601567,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium pseudonitidulum,NHMSYS0000601568,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium pseudoornatum,NHMSYS0000601570,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium pseudoprotuberans,NHMSYS0000601571,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium pygmaeum,NHMSYS0000601586,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium quadrifarium,NHMSYS0000601598,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium quadrum,NHMSYS0000601602,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium quinarium,NHMSYS0000601605,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium rectangulare,NHMSYS0000601610,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium regnellii,NHMSYS0000601614,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium regnesii,NHMSYS0000601617,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium repandum,NHMSYS0000601626,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium speciosum,NHMSYS0000601651,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium sphaeroideum,NHMSYS0000601656,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium sphagnicolum,NHMSYS0000601657,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium sphalerostichum,NHMSYS0000601658,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium sportella,NHMSYS0000601659,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium subarctoum,NHMSYS0000601662,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium subcostatum,NHMSYS0000601669,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium subcucumis,NHMSYS0000601673,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium subimpressulum,NHMSYS0000601680,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium subspeciosum,NHMSYS0000601692,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium tatricum,NHMSYS0000601446,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium tenue,NHMSYS0000601451,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium tetrachondrum,NHMSYS0000601452,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium trachypleurum,NHMSYS0000601469,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium truncatellum,NHMSYS0000601473,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium turpinii var. eximium,NHMSYS0000601482,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium tyrolicum,NHMSYS0020703522,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium undulatum,NHMSYS0000601486,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium variolatum,NHMSYS0000601492,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium venustum,NHMSYS0000601496,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium vexatum,NHMSYS0000601501,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium vogesiacum,NHMSYS0000601504,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmocladium saxonicum,NHMSYS0000601718,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cruoria cruoriaeformis,NHMSYS0000567922,Rare and scarce species (not based on IUCN criteria),Nationally scarce marine species,Marine-NS
Cruoria cruoriaeformis,NHMSYS0000567922,Biodiversity Lists - England,England NERC S.41,England_NERC_S.41
Cruoria cruoriaeformis,NHMSYS0000567922,Biodiversity Lists - Wales,Env (Wales) Act S7,Env (Wales) Act S7
Cruoria cruoriaeformis,NHMSYS0000567922,Biodiversity Action Plan UK list of priority species,Priority Species,BAP-2007
Cruoria cruoriaeformis,NHMSYS0000567922,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cryptonemia lomation,NHMSYS0021060231,Rare and scarce species (not based on IUCN criteria),Nationally rare marine species,Marine-NR
Cylindrocystis crassa,NHMSYS0000601973,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Dasya corymbifera,NHMSYS0021059837,Rare and scarce species (not based on IUCN criteria),Nationally rare marine species,Marine-NR
Dasya ocellata,NHMSYS0021059839,Biodiversity Lists - Northern Ireland,Priority Species (Northern Ireland),NI_Priority
Dasya punicea,NHMSYS0021059840,Rare and scarce species (not based on IUCN criteria),Nationally rare marine species,Marine-NR
Desmidium aptogonum,NHMSYS0000601919,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Desmidium grevillei,NHMSYS0000601928,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Desmidium pseudostreptonema,NHMSYS0000601930,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Docidium baculum,NHMSYS0000602191,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Docidium undulatum,NHMSYS0000602197,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Euastrum binale,NHMSYS0000602484,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Euastrum boldtii,NHMSYS0000602492,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Euastrum cornubiense,NHMSYS0000602496,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Euastrum divaricatum,NHMSYS0000602510,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Euastrum dubium,NHMSYS0000602511,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Euastrum gayanum,NHMSYS0000602528,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Euastrum gemmatum,NHMSYS0000602529,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Euastrum groenbladii,NHMSYS0000602530,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Euastrum humerosum,NHMSYS0000602531,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Euastrum inerme,NHMSYS0000602533,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Euastrum jenneri,NHMSYS0000602539,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Euastrum pulchellum,NHMSYS0000602553,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Euastrum sinuosum,NHMSYS0000602557,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Euastrum turneri,NHMSYS0000602564,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Euastrum ventricosum,NHMSYS0000602566,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Euthora cristata,NHMSYS0021060173,Rare and scarce species (not based on IUCN criteria),Nationally scarce marine species,Marine-NS
Gelidiella calcicola,NHMSYS0021060098,Rare and scarce species (not based on IUCN criteria),Nationally rare marine species,Marine-NR
Gelidium corneum,NHMSYS0021060089,Rare and scarce species (not based on IUCN criteria),Nationally rare marine species,Marine-NR
Gigartina pistillata,NHMSYS0021060158,Rare and scarce species (not based on IUCN criteria),Nationally scarce marine species,Marine-NS
Gonatozygon aculeatum,NHMSYS0000603176,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Gonatozygon kinahanii,NHMSYS0000603183,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Gracilaria bursa-pastoris,NHMSYS0021060220,Rare and scarce species (not based on IUCN criteria),Nationally scarce marine species,Marine-NS
Gracilaria multipartita,NHMSYS0021060222,Rare and scarce species (not based on IUCN criteria),Nationally scarce marine species,Marine-NS
Grateloupia montagnei,NHMSYS0021060238,Biodiversity Lists - England,England NERC S.41,England_NERC_S.41
Grateloupia montagnei,NHMSYS0021060238,Biodiversity Lists - Wales,Env (Wales) Act S7,Env (Wales) Act S7
Grateloupia montagnei,NHMSYS0021060238,Biodiversity Action Plan UK list of priority species,Priority Species,BAP-2007
Grateloupia montagnei,NHMSYS0021060238,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Groenbladia undulata,NHMSYS0000603219,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Lithothamnion corallioides,NHMSYS0021059581,Habitats Directive,Annex 5,HabDir-A5
Lithothamnion corallioides,NHMSYS0021059581,Rare and scarce species (not based on IUCN criteria),Nationally scarce marine species,Marine-NS
Lithothamnion corallioides,NHMSYS0021059581,Biodiversity Lists - England,England NERC S.41,England_NERC_S.41
Lithothamnion corallioides,NHMSYS0021059581,Biodiversity Lists - Wales,Env (Wales) Act S7,Env (Wales) Act S7
Lithothamnion corallioides,NHMSYS0021059581,Biodiversity Action Plan UK list of priority species,Priority Species,BAP-2007
Lithothamnion corallioides,NHMSYS0021059581,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Lophosiphonia reptabunda,NHMSYS0021059957,Rare and scarce species (not based on IUCN criteria),Nationally rare marine species,Marine-NR
Micrasterias americana,NHMSYS0000603830,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Micrasterias brachyptera,NHMSYS0000603837,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Micrasterias conferta,NHMSYS0000603838,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Micrasterias crux-melitensis,NHMSYS0000603841,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Micrasterias fimbriata,NHMSYS0000603846,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Micrasterias furcata,NHMSYS0000603848,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Micrasterias mahabuleshwarensis,NHMSYS0000603854,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Micrasterias radiosa,NHMSYS0000603867,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Micrasterias verrucosa,NHMSYS0000603888,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Phymatolithon calcareum,NHMSYS0021059601,Habitats Directive,Annex 5,HabDir-A5
Phymatolithon calcareum,NHMSYS0021059601,Biodiversity Lists - Northern Ireland,Priority Species (Northern Ireland),NI_Priority
Phymatolithon calcareum,NHMSYS0021059601,Biodiversity Lists - England,England NERC S.41,England_NERC_S.41
Phymatolithon calcareum,NHMSYS0021059601,Biodiversity Lists - Wales,Env (Wales) Act S7,Env (Wales) Act S7
Phymatolithon calcareum,NHMSYS0021059601,Biodiversity Action Plan UK list of priority species,Priority Species,BAP-2007
Phymatolithon calcareum,NHMSYS0021059601,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Pleurotaenium coronatum,NHMSYS0000605616,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Pleurotaenium nodosum,NHMSYS0000605635,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Pleurotaenium rectum,NHMSYS0000605638,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Pleurotaenium tridentulum var. capitatum,NHMSYS0000605645,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Pleurotaenium truncatum,NHMSYS0000605646,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Pseudoquadrigula britannica,NHMSYS0000605800,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Pterosiphonia pennata,NHMSYS0021060005,Rare and scarce species (not based on IUCN criteria),Nationally scarce marine species,Marine-NS
Roya anglica,NHMSYS0000605962,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Schmitzia hiscockiana,NHMSYS0021060115,Rare and scarce species (not based on IUCN criteria),Nationally scarce marine species,Marine-NS
Sirodotia suecica,NHMSYS0000606182,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Spondylosium papillosum,NHMSYS0000606352,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Spondylosium planum,NHMSYS0000606353,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Spondylosium pulchellum,NHMSYS0000606354,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Staurastrum arachne,NHMSYS0000606392,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Staurastrum arctiscon,NHMSYS0000606397,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Staurastrum arcuatum,NHMSYS0000606398,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Staurastrum asperum,NHMSYS0000606405,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Staurastrum boreale,NHMSYS0000606419,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Staurastrum borgeanum,NHMSYS0000606420,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Staurastrum brachycerum,NHMSYS0000606425,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Staurastrum brasiliense,NHMSYS0000524869,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Staurastrum brebissonii,NHMSYS0000606427,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Staurastrum capitulum,NHMSYS0000606430,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Staurastrum cerastes,NHMSYS0000606432,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Staurastrum chavesii,NHMSYS0000606437,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Staurastrum clepsydra,NHMSYS0001596568,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Staurastrum coarctatum,NHMSYS0000606445,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Staurastrum cosmarioides,NHMSYS0000606452,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Staurastrum cyathipes,NHMSYS0000606458,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Staurastrum cyrtocerum,NHMSYS0000606459,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Staurastrum denticulatum,NHMSYS0000606463,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Staurastrum dispar,NHMSYS0000606468,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Staurastrum disputatum,NHMSYS0000606469,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Staurastrum duacense,NHMSYS0000606472,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Staurastrum echinatum,NHMSYS0000606475,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Staurastrum elongatum,NHMSYS0000606478,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Staurastrum erasum,NHMSYS0000606480,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Staurastrum forficulatum,NHMSYS0000606482,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Staurastrum furcatum,NHMSYS0000606484,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Staurastrum gracile,NHMSYS0000606494,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Staurastrum hexacerum,NHMSYS0000606503,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Staurastrum hirsutum,NHMSYS0000606505,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Staurastrum inflexum,NHMSYS0000606514,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Staurastrum iotanum,NHMSYS0000606515,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Staurastrum johnsonii,NHMSYS0000606518,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Staurastrum kouwetsii,NHMSYS0000606520,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Staurastrum lapponicum,NHMSYS0000606525,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Staurastrum longispinum,NHMSYS0000606531,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Staurastrum maamense,NHMSYS0000606535,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Staurastrum manfeldtii,NHMSYS0000606536,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Staurastrum meriani,NHMSYS0000606547,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
